,Title,Organization,Skills,Ratings,course_url,course_students_enrolled,course_description,Review Count,Difficulty,Type,Duration
89,Microsoft 365 Fundamentals,Microsoft," Visual Design, Communication, Microsoft Excel, Data Visualization, Interactive Data Visualization, Spreadsheet Software, Computer Graphics, Critical Thinking, Data Analysis, Visualization (Computer Graphics), Collaboration, User Experience, Computer Graphic Techniques, Research and Design, Statistical Visualization, User Experience Design, Writing, Basic Descriptive Statistics, Data Analysis Software, Graphic Design, Databases, General Accounting, Marketing Design, Product Design, Software Engineering Tools",4.7,https://www.coursera.org/specializations/microsoft-365-fundamentals,"67,979","This Specialization is intended to help all novice computer users get up to speed with Microsoft 365 quickly. It covers different features of the interface, shows you how to perform basic tasks, and introduces you to the most important tools in Word, PowerPoint, and Excel.

This program will help you to become familiar with the apps and services included in a Microsoft 365 subscription. You will improve your word processing, spreadsheet, and presentation skills to take your productivity to the next level. You will learn how to work smarter and more collaboratively with the latest intelligent features of Office 365.

By the end of this program of courses, you will be ready to take and sign-up for the MO-100: Microsoft Word (Word and Word 2019), MO-200: Microsoft Excel (Excel and Excel 2019), and MO-300: Microsoft PowerPoint (PowerPoint and PowerPoint 2019).

Applied Learning Project
As a learner, you will engage in hands-on activities throughout this program that offer opportunities to practice and implement what you are learning. You will also have the opportunity to complete projects that create artifacts that will be useful to you in your personal and professional life. 
For example, you will use Word to create a professional-looking resumé, analyze data and present a report with Excel, and create a presentation with PowerPoint on a topic that interests you to demonstrate your skills in this area.
",2.8K,Beginner,Specialization,3 - 6 Months
90,Microsoft Cybersecurity Analyst,Microsoft," Cloud Computing, Computer Architecture, Data Management, Leadership and Management, Microsoft Azure, Network Security, Operating Systems, System Security",4.8,https://www.coursera.org/professional-certificates/microsoft-cybersecurity-analyst,"31,727","Learners who complete this program will receive a 50% discount voucher to take the SC-900 Certification Exam. 
Organizations rely on cybersecurity experts to protect themselves from threats, but nearly 60% report security talent shortages.1 Prepare for a new career in this high-demand field with professional training from Microsoft — an industry-recognized leader in cybersecurity.
The role of a cybersecurity analyst includes monitoring networks for vulnerabilities or potential threats, mitigating attacks on the network infrastructures, and implementing strategies for data protection. With 95% of fortune 500 companies using Azure, it’s critical for cybersecurity professionals to learn to protect data within an Azure environment.2
Through a mix of videos, assessments, and hands-on activities, you’ll learn cybersecurity concepts and how they apply to a business environment, discuss threat mitigation strategies from an enterprise perspective, apply effective cybersecurity policy measures within an Azure environment, & practice on tools like MS defender, Azure Active Directory & more.
When you graduate, you’ll have tangible examples to talk about in job interviews and you’ll also be prepared to take the Microsoft SC-900 Certification Exam.
1McKinsey & Company, Securing your organization to reduce cyber risk (June 2022)
2Microsoft Azure, Microsoft Azure:The only consistent, comprehensive hybrid cloud (Sept 2018)

Applied Learning Project
This program has been uniquely mapped to key job skills required in cybersecurity analyst roles. In each course, you’ll be able to consolidate what you have learned by completing a capstone project that simulates real-world cybersecurity scenarios. You’ll also complete a final capstone project where you’ll create your own cybersecurity proposal for the creation and protection of a business network and infrastructure. The projects will include practicing on:
A real-world scenario focused on penetration testing, building configuration, and testing strategy for white box testing of a penetration test on virtual networks.
A real-world capstone project that enables you to demonstrate your cybersecurity analyst skills. 
To round off your learning, you’ll take a mock exam that has been set up in a similar style to the industry-recognized Microsoft Exam SC-900: Microsoft Security, Compliance, and Identity Fundamentals.  
",711,Beginner,Professional Certificate,3 - 6 Months
91,Advanced Learning Algorithms,DeepLearning.AI," Applied Machine Learning, Machine Learning, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Deep Learning, Network Model, Tensorflow, Machine Learning Software, Python Programming",4.9,https://www.coursera.org/learn/advanced-learning-algorithms,"173,009","In the second course of the Machine Learning Specialization, you will:
• Build and train a neural network with TensorFlow to perform multi-class classification
• Apply best practices for machine learning development so that your models generalize to data and tasks in the real world
• Build and use decision trees and tree ensemble methods, including random forests and boosted trees

The Machine Learning Specialization is a foundational online program created in collaboration between DeepLearning.AI and Stanford Online. In this beginner-friendly program, you will learn the fundamentals of machine learning and how to use these techniques to build real-world AI applications. 

This Specialization is taught by Andrew Ng, an AI visionary who has led critical research at Stanford University and groundbreaking work at Google Brain, Baidu, and Landing.AI to advance the AI field.

This 3-course Specialization is an updated and expanded version of Andrew’s pioneering Machine Learning course, rated 4.9 out of 5 and taken by over 4.8 million learners since it launched in 2012. 

It provides a broad introduction to modern machine learning, including supervised learning (multiple linear regression, logistic regression, neural networks, and decision trees), unsupervised learning (clustering, dimensionality reduction, recommender systems), and some of the best practices used in Silicon Valley for artificial intelligence and machine learning innovation (evaluating and tuning models, taking a data-centric approach to improving performance, and more.)

By the end of this Specialization, you will have mastered key theoretical concepts and gained the practical know-how to quickly and powerfully apply machine learning to challenging real-world problems. If you’re looking to break into AI or build a career in machine learning, the new Machine Learning Specialization is the best place to start.
",4.3K,Beginner,Course,1 - 4 Weeks
92,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing," Communication, SAS (Software), Regulations and Compliance, Systems Design, System Security, Network Architecture, Process Analysis, Training, Decision Making, Operating Systems",4.6,https://www.coursera.org/learn/google-cbrs-cpi-training,"9,008","This Specialization is intended for all learners seeking to develop proficiency in statistics, Bayesian statistics, Bayesian inference, R programming, and much more. Through four complete courses (From Concept to Data Analysis; Techniques and Models; Mixture Models; Time Series Analysis) and a culminating project, you will cover Bayesian methods — such as conjugate models, MCMC, mixture models, and dynamic linear modeling — which will provide you with the skills necessary to perform analysis, engage in forecasting, and create statistical models using real-world data.
Applied Learning Project
This Specialization trains the learner in the Bayesian approach to statistics, starting with the concept of probability all the way to the more complex concepts such as dynamic linear modeling. You will learn about the philosophy of the Bayesian approach as well as how to implement it for common types of data, and then dive deeper into the analysis of time series data.
The courses in this specialization combine lecture videos, computer demonstrations, readings, exercises, and discussion boards to create an active learning experience, while the culminating project is an opportunity for the learner to demonstrate a wide range of skills and knowledge in Bayesian statistics and to apply what you know to real-world data. You will review essential concepts in Bayesian statistics, learn and practice data analysis using R (an open-source, freely available statistical package), perform a complex data analysis on a real dataset, and compose a report on your methods and results.


",189,Mixed,Course,1 - 3 Months
93,Financial Markets,Yale University," Finance, Investment Management, Risk Management, Banking, Behavioral Economics, Critical Thinking, Decision Making, Financial Analysis, Innovation, Regulations and Compliance, Leadership and Management",4.8,https://www.coursera.org/learn/financial-markets-global,"17,578","This specialization is intended for aspiring learners and professionals seeking to hone their skills in the quantitative finance area. Through a series of 5 courses, we will cover derivative pricing, asset allocation, portfolio optimization as well as other applications of financial engineering such as real options, commodity and energy derivatives and algorithmic trading. Those financial engineering topics will prepare you well for resolving related problems, both in the academic and industrial worlds.

Applied Learning Project
Learners will apply the knowledge and skills to various problems in the financial engineering area, including pricing derivatives of futures, equities, interest rates, and credit, conducting delta hedging, mean-variance portfolio construction, model fitting and optimization.

",26K,Beginner,Course,1 - 3 Months
94,HRCI Human Resource Associate,HRCI," Benefits, Compensation, Employee Relations, Mergers & Acquisitions, Performance Management, Recruitment, Risk Management, Training",4.8,https://www.coursera.org/professional-certificates/hrci-human-resource-associate,"349,644","Graphic design is all around us, in a myriad of forms, both on screen and in print, yet it is always made up of images and words to create a communication goal. This four-course sequence exposes students to the fundamental skills required to make sophisticated graphic design: process, historical context, and communication through image-making and typography. The sequence is completed by a capstone project that applies the skills of each course and peer feedback in a finished branding project suitable for a professional portfolio.
The goal of this specialization is to equip learners with a set of transferable formal and conceptual tools for “making and communicating” in the field of graphic design. This core skill set will equip learners for formal studies in graphic design, and a starting point for further work in interface design, motion graphics, and editorial design.
",445,Beginner,Professional Certificate,3 - 6 Months
95,Excel Skills for Business,Macquarie University," Spreadsheet Software, Business Analysis, Microsoft Excel, Data Analysis, Plot (Graphics), Data Visualization, Data Model, Databases, Finance, Leadership and Management",4.9,https://www.coursera.org/specializations/excel,"203,729","Everyday Parenting gives you access to a toolkit of behavior-change techniques that will make your typical day in the home easier as you develop the behaviors you would like to see in your child. The lessons provide step-by-step instructions and demonstrations to improve your course of action with both children and adolescents.  Among many techniques, you will learn how even simple modifications to tone of voice and phrasing can lead to more compliance.  The course will also shed light on many parenting misconceptions and ineffective strategies that are routinely used.
The key to the course is practice. It is not enough to know the strategies; you have to do them to reap the rewards. Using the techniques on a temporary basis will lead to permanent change. 

Chances are your parenting is perfectly fine and working the way you would like.  But if you have any frustrations with your child or would like improve your effectiveness in changing your child’s behavior, these videos will be a very useful guide.

Subtitles available in Chinese and Spanish.
",59K,Beginner,Specialization,3 - 6 Months
96,The Bits and Bytes of Computer Networking,Google," Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Critical Thinking, Problem Solving, Computer Architecture, Human Computer Interaction, Network Security, Cloud Computing",4.7,https://www.coursera.org/learn/computer-networking,"684,788","This course is designed to provide a full overview of computer networking. We’ll cover everything from the fundamentals of modern networking technologies and protocols to an overview of the cloud to practical applications and network troubleshooting. 
By the end of this course, you’ll be able to:
● describe computer networks in terms of a five-layer model
● understand all of the standard protocols involved with TCP/IP communications
● grasp powerful network troubleshooting tools and techniques
● learn network services like DNS and DHCP that help make computer networks run
● understand cloud computing, everything as a service, and cloud storage
",47K,Beginner,Course,1 - 3 Months
97,IBM Machine Learning,IBM," Machine Learning, Machine Learning Algorithms, Human Learning, Statistical Machine Learning, Data Analysis, Probability & Statistics, Applied Machine Learning, Algorithms, Forecasting, Statistical Analysis, Regression, Deep Learning, General Statistics, Python Programming, Machine Learning Software, Artificial Neural Networks, Exploratory Data Analysis, Feature Engineering, Correlation And Dependence, Dimensionality Reduction, Statistical Tests, Probability Distribution, Reinforcement Learning, Basic Descriptive Statistics, Network Model, Tensorflow",4.6,https://www.coursera.org/professional-certificates/ibm-machine-learning,"22,376","Prepare for a career in the field of machine learning. In this program, you’ll learn in-demand skills like AI and Machine Learning to get job-ready in less than 3 months.
Machine Learning is the use and development of computer systems that are able to learn and adapt by using algorithms and statistical models to analyze and draw inferences from patterns in data. Machine Learning is a branch of Artificial Intelligence (AI) where computers are taught to imitate human intelligence in that they solve complex tasks. Roles available to those proficient in Machine Learning include machine learning engineer, NLP scientist, and data engineer.
This program consists of courses that provide you with a solid theoretical understanding and considerable practice of the main algorithms, uses, and best practices related to Machine Learning. Topics covered include Supervised and Unsupervised learning, Regression, Classification, Clustering, Deep learning and Reinforcement learning.
You will follow along and code your own projects using some of the most relevant open-source frameworks and libraries, and you will apply what you have learned in various courses by completing a final capstone project. 
Upon completion, you’ll have a portfolio of projects and a Professional Certificate from IBM to showcase your expertise. You’ll also earn an IBM Digital badge and will gain access to career resources to help you in your job search, including mock interviews and resume support. 
Applied Learning Project
This Professional Certificate has a strong emphasis on developing the real-world skills that help you advance a career in Machine Learning and Deep Learning. All the courses include a series of hands-on labs and final projects that help you focus on a specific project that interests you. Throughout this Professional Certificate, you will gain exposure to a series of tools, libraries, cloud services, datasets, algorithms, assignments, and projects that will provide you with practical skills to use on Machine Learning jobs. 
These skills include:
Tools: Jupyter Notebooks and Watson Studio
Libraries: Pandas, NumPy, Matplotlib, Seaborn, ipython-sql, Scikit-learn, ScipPy, Keras, and TensorFlow.
Algorithms: Supervised and Unsupervised learning, Regression, Classification, Clustering, Linear Regression, Ridge Regression, Machine Learning (ML) Algorithms, Decision Tree, Ensemble Learning, Survival Analysis, K-means clustering, DBSCAN, Dimensionality Reduction
",2K,Intermediate,Professional Certificate,3 - 6 Months
98,Indigenous Canada,University of Alberta, Critical Thinking,4.8,https://www.coursera.org/learn/indigenous-canada,"572,934","Indigenous Canada is a 12-lesson Massive Open Online Course (MOOC) from the Faculty of Native Studies that explores the different histories and contemporary perspectives of Indigenous peoples living in Canada. From an Indigenous perspective, this course explores complex experiences Indigenous peoples face today from a historical and critical perspective highlighting national and local Indigenous-settler relations. Topics for the 12 lessons include the fur trade and other exchange relationships, land claims and environmental impacts, legal systems and rights, political conflicts and alliances, Indigenous political activism, and contemporary Indigenous life, art and its expressions.
",22K,Mixed,Course,1 - 3 Months
99,Connect and Protect: Networks and Network Security,Google," Network Security, Cloud Computing, Network Architecture",4.8,https://www.coursera.org/learn/networks-and-network-security,"26,028","This specialization takes a critical look at digital advertising tactics for small business. Students will learn how to generate and launch ad campaigns on small budgets with limited-to-no design skills. These courses include: 1) search (Google Ads), 2) social media (Facebook, Instagram and Twitter) and 3) native advertising (Taboola). Students who complete our search course will also gain a résumé credential through the official Google Ads Search Certification and a certification through programmatic advertising leader, The Trade Desk.
",2.4K,Beginner,Course,1 - 4 Weeks
100,Preparing for Google Cloud Certification: Cloud Architect,Google Cloud," Google Cloud Platform, Cloud Computing, Cloud Applications, Cloud Engineering, Cloud Platforms, Cloud Infrastructure, Cloud Management, Cloud Storage, Other Cloud Platforms and Tools, Cloud-Based Integration, Computer Networking, DevOps, Google App Engine, Computer Architecture, Cross Platform Development, Kubernetes, Billing & Invoicing, Computer Security Models, Critical Thinking, Network Architecture, Network Analysis, Computer Programming, Operational Analysis, Software Testing, Leadership and Management",4.7,https://www.coursera.org/professional-certificates/gcp-cloud-architect,"50,502","Google Cloud Professional Cloud Architect certification was ranked #2 on Global Knowledge's list of 15 top-paying certifications in 2021Opens in a new tab! Enroll now! to prepare!
This program provides the skills you need to advance your career in cloud architecture and provides a pathway to earn the industry-recognized Google Cloud Professional Cloud Architect certification. You'll deploy solution elements, including infrastructure components such as networks, systems and applications services, and you'll gain real world experience through hands-on Qwiklabs projects that you can share with potential employers.
You'll also have the opportunity to practice key job skills, including case analysis, identifying technical watchpoints, and developing proposed solutions. Test your basic abilities with Activity Tracking Challenge Labs. For learners looking to get certified, this program will provide sample questions similar to those on the exam, including solutions and practice exam quizzes that simulate the exam-taking experience.
Upon successful completion of this program, you will earn a certificate of completion to share with your professional network and potential employers. If you'd like to earn your Google Cloud certification, you will need to register for and pass the certification exam. Please note that this program helps equip you with the skills you need to take the certification exam, but the certification and certification fee is not included in the cost of this training program.
Applied Learning Project
This professional certificate incorporates hands-on labs using our Qwiklabs platform.
These hands on components will let you apply the skills you learn in the video lectures. Projects will incorporate topics such as Google Cloud Platform products, which are used and configured within Qwiklabs. You can expect to gain practical hands-on experience with the concepts explained throughout the modules.
",58K,Intermediate,Professional Certificate,3 - 6 Months
101,Neural Networks and Deep Learning,DeepLearning.AI," Artificial Neural Networks, Deep Learning, Machine Learning, Machine Learning Algorithms, Python Programming, Computational Logic, Computer Programming, Network Architecture, Network Model, Calculus, Human Learning, Regression, Mathematics",4.9,https://www.coursera.org/learn/neural-networks-deep-learning,"38,677","This specialization gives participants broad study of core infrastructure and networking options on Google Cloud Platform. Through recorded lectures, demonstrations, and hands-on labs, participants explore and deploy GCP networking technologies, such as Google Virtual Private Cloud (VPC) networks, subnets, firewalls; interconnection among networks; load balancing; Cloud DNS; Cloud CDN. The specialization will also cover common network design patterns and automated deployment using Deployment Manager.
This class is intended for the following participants:
● Network Engineers and Admins who are either using Google Cloud Platform or are planning to do so
● Individuals who want to be exposed to software-defined networking solutions in the cloud.
To get the most out of this course, participants should have:
*Prior understanding of the OSI 7-layer model
*Prior understanding of IPv4 addressing
*Prior experience with managing IPv4 routes
Applied Learning Project
This specialization incorporates hands-on labs using our Qwiklabs platform.
These hands on components will let you apply the skills you learn in the video lectures. Projects will incorporate topics such as Google Cloud Platform products, which are used and configured within Qwiklabs. You can expect to gain practical hands-on experience with the concepts explained throughout the modules.
",120K,Intermediate,Course,1 - 4 Weeks
102,Business Analytics,University of Pennsylvania," Data Analysis, Business Analysis, Probability & Statistics, Statistical Analysis, Leadership and Management, Strategy and Operations, Basic Descriptive Statistics, Exploratory Data Analysis, Financial Analysis, Forecasting, Data Model, Mathematics, Performance Management, Strategy, Accounting, Customer Analysis, Human Resources, Human Resources Operations, Market Analysis, Market Research, Marketing, Mathematical Theory & Analysis, Operations Management, Operations Research, Organizational Development, People Analysis, People Management, Spreadsheet Software, Talent Management, Financial Accounting, Collaboration, Finance, Regulations and Compliance",4.6,https://www.coursera.org/specializations/analytics,"11,461","With more companies leveraging software that runs on the Cloud, there is a growing need to find and hire individuals with the skills needed to build solutions on a variety of Cloud platforms. Employers agree: Cloud talent is hard to find. This Specialization is designed to address the Cloud talent gap by providing training to anyone interested in developing the job-ready, pragmatic skills needed for careers that leverage Cloud-native technologies.
In the first course, you will learn how to build foundational Cloud computing infrastructure, including websites involving serverless technology and virtual machines, using the best practices of DevOps. The second course will teach you how to build effective Microservices using technologies like Flask and Kubernetes that are continuously deployed to a Cloud platform: Amazon Web Services (AWS), Azure or Google Cloud Platform (GCP). The third course begins to put together all of the Cloud concepts introduced in the first two courses to tackle more complex data engineering solutions. And finally, in the fourth course you will apply Machine Learning Engineering to build a Flask web application that serves out Machine Learning predictions.
Applied Learning Project
Each course concludes with a real-world project where you have an opportunity to build a Cloud-native solution. For each Cloud solution that you develop, you will also create a demo video and GitHub repository of code that can be showcased in your digital portfolio for employers. By the end of this Specialization, you will be well-equipped to begin designing Cloud-native data engineering and machine learning solutions. 
",18K,Beginner,Specialization,3 - 6 Months
104,Preparing for Google Cloud Certification: Cloud Engineer,Google Cloud," Cloud Computing, Google Cloud Platform, Cloud Platforms, Cloud Applications, Cloud Engineering, Cloud Storage, Cloud Infrastructure, Cloud Management, Computer Networking, Cloud-Based Integration, Computer Architecture, Google App Engine, Other Cloud Platforms and Tools, Cross Platform Development, DevOps, Kubernetes, Network Architecture, Computer Programming, Billing & Invoicing, Data Analysis, Leadership and Management",4.7,https://www.coursera.org/professional-certificates/cloud-engineering-gcp,"46,038","This program provides the skills you need to advance your career in cloud architecture and provides a pathway to earn the industry-recognized Google Cloud Associate Cloud Engineer certification. Through a combination of presentations, demos, and labs, you'll explore and deploy solution elements, including infrastructure components such as networks, systems and applications services; and you'll gain real world experience through a number of hands-on Qwiklabs projects that you can share with potential employers.
You'll also have the opportunity to practice key job skills, such as setting up a cloud environment and configuring and deploying a solution in the cloud. For learners looking to get certified, this program will also provide sample questions similar to those on the exam, including solutions and practice exam quizzes that simulates the exam-taking experience.
Upon successful completion of this program, you will earn a certificate of completion to share with your professional network and potential employers. If you'd like to earn your Google Cloud certification, you will need to register for and pass the certification exam. Please note that this program helps equip you with the skills you need to take the certification exam, but the certification and certification fee is not included in the cost of this training program.
Applied Learning Project
This professional certificate incorporates hands-on labs using our Qwiklabs platform.
These hands on components will let you apply the skills you learn in the video lectures. Projects will incorporate topics such as Google Cloud Platform products, which are used and configured within Qwiklabs. You can expect to gain practical hands-on experience with the concepts explained throughout the modules.
",58K,Intermediate,Professional Certificate,3 - 6 Months
105,IBM Introduction to Machine Learning,IBM," Machine Learning, Machine Learning Algorithms, Algorithms, Statistical Machine Learning, Human Learning, Probability & Statistics, Applied Machine Learning, Data Analysis, Regression, General Statistics, Python Programming, Feature Engineering, Machine Learning Software, Exploratory Data Analysis, Dimensionality Reduction, Statistical Analysis, Probability Distribution, Statistical Tests, Basic Descriptive Statistics",4.6,https://www.coursera.org/specializations/ibm-intro-machine-learning,"7,705","Machine learning skills are becoming more and more essential in the modern job market. In 2019, Machine Learning Engineer was ranked as the #1 job in the United States, based on the incredible 344% growth of job openings in the field between 2015 to 2018, and the role’s average base salary of $146,085 (IndeedOpens in a new tab). 
This four-course Specialization will help you gain the introductory skills to succeed in an in-demand career in machine learning and data science. After completing this program, you’ll be able to realize the potential of machine learning algorithms and artificial intelligence in different business scenarios. You’ll be able to identify when to use machine learning to explain certain behaviors and when to use it to predict future outcomes. You’ll also learn how to evaluate your machine learning models and to incorporate best practices. 
By the end of this program, you will have developed concrete machine learning skills to apply in your workplace or career search, as well as a portfolio of projects demonstrating your proficiency. In addition to receiving a certificate from Coursera, you'll also earn an IBM BadgeOpens in a new tab to help you share your accomplishments with your network and potential employer.
You can also leverage the learning from the program to complete the remaining two courses of the six-course IBM Machine Learning Professional CertificateOpens in a new tab and power a new career in the field of machine learning. 
Applied Learning Project
In this program, you’ll complete hands-on projects designed to develop your analytical and machine learning skills. You’ll also produce a summary of your insights from each project using data analysis skills, in a similar way as you would in a professional setting, including producing a final presentation to communicate insights to fellow machine learning practitioners, stakeholders, C-suite executives, and chief data officers.
You are highly encouraged to compile your completed projects into an online portfolio that showcases the skills learned in this Specialization.
",1.9K,Intermediate,Specialization,3 - 6 Months
106,Modern Project Management,SkillUp EdTech," Business Analysis, Communication, Leadership and Management, Project Management, Risk Management",4.6,https://www.coursera.org/specializations/skillup-edtech-modern-project-management,"195,766","We live in a complex world with diverse people, firms, and governments whose behaviors aggregate to produce novel, unexpected phenomena. We see political uprisings, market crashes, and a never ending array of social trends. How do we make sense of it? Models. Evidence shows that people who think with models consistently outperform those who don't. And, moreover people who think with lots of models outperform people who use only one. Why do models make us better thinkers? Models help us to better organize information - to make sense of that fire hose or hairball of data (choose your metaphor) available on the Internet. Models improve our abilities to make accurate forecasts. They help us make better decisions and adopt more effective strategies. They even can improve our ability to design institutions and procedures. In this class, I present a starter kit of models: I start with models of tipping points. I move on to cover models explain the wisdom of crowds, models that show why some countries are rich and some are poor, and models that help unpack the strategic decisions of firm and politicians. 
The models covered in this class provide a foundation for future social science classes, whether they be in economics, political science, business, or sociology. Mastering this material will give you a huge leg up in advanced courses. They also help you in life. Here's how the course will work. For each model, I present a short, easily digestible overview lecture. Then, I'll dig deeper. I'll go into the technical details of the model. Those technical lectures won't require calculus but be prepared for some algebra. For all the lectures, I'll offer some questions and we'll have quizzes and even a final exam. If you decide to do the deep dive, and take all the quizzes and the exam, you'll receive a Course Certificate. If you just decide to follow along for the introductory lectures to gain some exposure that's fine too. It's all free. And it's all here to help make you a better thinker!
",140,Beginner,Specialization,3 - 6 Months
107,Preparing for Google Cloud Certification: Machine Learning Engineer,Google Cloud," Machine Learning, Google Cloud Platform, Applied Machine Learning, Cloud Computing, Human Learning, Machine Learning Software, Cloud Platforms, Machine Learning Algorithms, Tensorflow, Deep Learning, Feature Engineering, Artificial Neural Networks, Training, DevOps, Exploratory Data Analysis, Python Programming, Cloud-Based Integration, Data Analysis, Data Visualization, Big Data, Probability & Statistics, Regression, Statistical Programming, Statistical Visualization, Algorithms, Continuous Integration, SQL, Cloud API, Apache, Extract, Transform, Load, Docker (Software)",4.6,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate,"36,932","87% of Google Cloud certified users feel more confident in their cloud skills. This program provides the skills you need to advance your career and provides training to support your preparation for the industry-recognized Google Cloud Professional Machine Learning EngineerOpens in a new tab certification.
Here's what you have to do
1) Complete the Preparing for Google Cloud Machine Learning Engineer Professional Certificate
2) Review other recommended resources for the Google Cloud Professional Machine Learning Engineer Opens in a new tabexam
3) Review the Professional Machine Learning Engineer exam guideOpens in a new tab
4) Complete Professional Machine Learning EngineerOpens in a new tab sample questions
5) RegisterOpens in a new tab for the Google Cloud certification exam (remotely or at a test center)
Applied Learning Project
This professional certificate incorporates hands-on labs using Qwiklabs platform.These hands on components will let you apply the skills you learn. Projects incorporate Google Cloud Platform products used within Qwiklabs. You will gain practical hands-on experience with the concepts explained throughout the modules.
Applied Learning Project
This specialization incorporates hands-on labs using Google's Qwiklabs platform.
These hands on components will let you apply the skills you learn in the video lectures. Projects will incorporate topics such as Google Cloud Platform products, which are used and configured within Qwiklabs. You can expect to gain practical hands-on experience with the concepts explained throughout the modules.
",26K,Intermediate,Professional Certificate,3 - 6 Months
108,Architecting with Google Compute Engine,Google Cloud," Cloud Applications, Cloud Computing, Google Cloud Platform, Cloud Infrastructure, Cloud Platforms, Cloud Management, Other Cloud Platforms and Tools, Cloud Engineering, Cloud Storage, Cloud-Based Integration, Computer Networking, DevOps, Google App Engine, Network Architecture, Computer Programming, Kubernetes, Leadership and Management",4.7,https://www.coursera.org/specializations/gcp-architecture,"4,621","If you want to enter the exciting world of software development, this Software Engineering Foundations Specialization is for you. No prior degrees or knowledge of programming or application development are necessary.  

Software Developers are in great demand earning a median salary of US$110,140 per year according to the US Bureau of Labor and Statistics. The field is growing at a rate of 22% making it a great time to start a career in software engineering.. The self-paced courses in this program provide the foundations to prepare for a wide range of IT & software development related careers, including web development, mobile application development, front-end, back-end, and full stack application development, software testing & quality assurance (QA), as well as DevOps engineering. 

This specialization is full of engaging videos, hands-on labs, and real-world projects that explore fundamental programming principles and foundations of design, architecture, and deployment; the software development lifecycle; Git and GitHub repositories; using the Linux terminal and creating Bash shell scripts to automate a variety of tasks; and coding with the Python programming language.
 
The program is suitable for those new to software engineering or for those who would like a review of software engineering fundamentals. It prepares you with an introduction to the culture, technology, and job-ready skills needed to become successful in software engineering.    
Applied Learning Project
Each course is packed with hands-on labs, interactive activities, and projects so you can build your portfolio while gaining practical knowledge of software engineering concepts. You will develop software engineering skills  throughout the program. Projects involve:.
Exploring job listings to become familiar with skills and requirements in the Software Engineering domain. 
Using Git commands and GitHub to create an open source project while working with branches, merging code, and performing pull requests (PRs).
Writing a Bash shell script on Linux that takes backups of changed files and schedules it to run every 24 hours using Crontab. 
Coding with Python using lists, tuples, dictionaries, sets, conditions, branching, loops, functions, exception handling, objects, and classes, web services & APIs, and libraries like NumPy & Pandas.  
Developing a Python web app that uses IBM Watson to translate languages, including writing unit tests and packaging the app for distribution.
",57K,Intermediate,Specialization,3 - 6 Months
109,SAP Technology Consultant,SAP," Leadership and Management, Strategy and Operations, Cloud-Based Integration, Business Analysis, Business Transformation, Business Process Management, Cloud Applications, Strategy, Customer Analysis, Planning, Project Management, Business Intelligence, Software As A Service, Supply Chain and Logistics, Cloud Standards, Cloud Computing, Network Architecture, Software Architecture, System Software, Communication",4.7,https://www.coursera.org/professional-certificates/sap-technology-consultant,"27,742","Launch your career in the high-demand field of SAP consulting. Build the consulting skills successful companies are looking for through tailored training and hands-on projects designed by SAP. No experience or degree required to enroll.
What does an SAP consultant do? SAP consultants are problem solvers who relish getting the details right. They are experts in process management and have a deep understanding of SAP solutions. They are also outstanding communicators and excel at collaborating with all contributors and stakeholders in a project.
This program has been designed specifically for learners seeking to get their first job in the SAP domain.
You’ll get the inside track on how to build a consulting career beyond just having product knowledge. You’ll learn about project management methodologies and agile processes. You’ll gain core consulting skills such as requirements gathering, stakeholder interviewing, client communication, client analysis, and solution design. Plus, you’ll go through several implementation project lifecycles to build your practical experience and complete a comprehensive hands-on project using a case study to apply the skills you have learned.
With SAP customers generating 87% of total global commerce, SAP consulting skills are in high demand. Through this program, you’ll build the critical skills that the largest and highly successful companies such as Accenture, Capgemini, Deloitte and KPMG, are looking for. 
Applied Learning Project
Each course contains a client-related project that enables you to develop your skills in context. As the courses progress, the projects give you the opportunity to deepen your consulting skills as you learn.
In addition to each end-of-course project, however, you’ll conduct a comprehensive hands-on project that takes you through the full SAP implementation lifecycle from start to finish. This will include carrying out the appropriate customer analysis and gap analysis, identifying business requirements, designing a solution, implementing your proposed solution, and completing QA and testing activities. Plus, you’ll build your own SAP career development plan in readiness for when you’ve successfully earned your professional certificate.
Once you’ve completed the program, you will have a variety of simulated project implementations that you can refer to in interviews to evidence your hands-on experience. 
",558,Beginner,Professional Certificate,3 - 6 Months
110,"JavaScript Programming with React, Node & MongoDB",IBM," Javascript, Computer Programming, Web Development, Computer Science, Front-End Web Development, NoSQL, React (web framework)",4.3,,,,533,Beginner,Specialization,3 - 6 Months
